Episode,Score,MaxTile,Moves,Duration_Sec,N_Empty,N_Max,N_Snake,N_Merge,N_Corner,N_Neigh,P_Empty,P_Max,P_Snake,P_Merge,P_Corner,P_Neigh
101,7224,512,500,1.6388,1.83103,2.24884,1.72299,0.92486,0.89955,1.3765,0.84575,2.06055,1.78485,0.89061,0.65183,1.50714
102,7208,512,500,1.6832,1.84296,2.26322,1.73372,0.92842,0.90228,1.38394,0.84901,2.0734,1.79518,0.89461,0.65415,1.51491
103,3408,256,287,0.9876,1.85349,2.27556,1.74254,0.9325,0.90589,1.3899,0.84926,2.07527,1.79689,0.89511,0.65365,1.51572
104,7260,512,509,1.6715,1.86296,2.28504,1.74888,0.93489,0.90735,1.3947,0.85298,2.09155,1.81123,0.89956,0.65365,1.52677
105,12056,1024,701,2.2939,1.87838,2.30645,1.76366,0.93978,0.92016,1.40567,0.858,2.11065,1.82614,0.90428,0.65365,1.53984
106,6248,512,434,1.4536,1.88812,2.31908,1.77279,0.94319,0.92431,1.41211,0.86,2.11819,1.83258,0.90633,0.65365,1.54558
107,5800,512,416,1.3609,1.89771,2.33034,1.78063,0.94603,0.92561,1.41783,0.86179,2.12702,1.83995,0.90842,0.65365,1.55209
108,10876,1024,661,2.2197,1.90507,2.33714,1.78441,0.94861,0.92722,1.42047,0.86833,2.15186,1.86097,0.91599,0.65793,1.56966
109,14188,1024,819,2.666,1.91988,2.35844,1.79923,0.95442,0.92933,1.43091,0.87372,2.18054,1.88411,0.92379,0.66345,1.58983
110,5408,512,383,1.3078,1.93162,2.37214,1.80885,0.95791,0.93154,1.43835,0.87499,2.18545,1.88785,0.92523,0.66345,1.59305
111,7488,512,516,1.8064,1.94726,2.39444,1.82481,0.96357,0.93362,1.45006,0.8769,2.19408,1.8955,0.9273,0.66506,1.59809
112,3296,256,277,0.9452,1.95664,2.40505,1.83205,0.96661,0.93678,1.45541,0.87759,2.19652,1.89764,0.9279,0.66506,1.6006
113,6992,512,479,1.674,1.96976,2.42327,1.8451,0.97028,0.93999,1.46606,0.879,2.20365,1.90346,0.92932,0.66506,1.60575
114,6760,512,451,1.5173,1.98308,2.44046,1.85746,0.97452,0.94511,1.47456,0.88018,2.20988,1.90879,0.93114,0.66887,1.60898
115,5620,512,394,1.3445,1.99278,2.4524,1.86557,0.97735,0.94755,1.48001,0.88198,2.21624,1.9142,0.93276,0.66887,1.61238
116,7292,512,506,1.6883,2.0035,2.46725,1.87581,0.98152,0.95226,1.48729,0.88393,2.22515,1.92175,0.93595,0.67049,1.61752
117,3700,256,294,0.9775,2.01105,2.47728,1.88316,0.98363,0.95256,1.49343,0.88429,2.22725,1.92352,0.93635,0.67049,1.61971
118,11460,1024,668,2.2736,2.02891,2.50299,1.90129,0.99075,0.96979,1.5041,0.88731,2.2383,1.9325,0.93965,0.6732,1.62586
119,6436,512,436,1.4407,2.03937,2.51533,1.91041,0.99452,0.97511,1.51053,0.89009,2.24824,1.94115,0.94229,0.67621,1.63195
120,15908,1024,932,3.0308,2.05717,2.54009,1.92761,1.00172,0.97888,1.52295,0.89762,2.28392,1.96962,0.95115,0.67671,1.65488
121,7044,512,477,1.5629,2.06498,2.54899,1.93378,1.00452,0.98004,1.52829,0.90072,2.29741,1.9809,0.95591,0.67662,1.66241
122,5308,512,363,1.2316,2.07451,2.56222,1.94393,1.00764,0.98485,1.53558,0.90217,2.30151,1.98462,0.95711,0.67812,1.66501
123,5992,512,421,1.4255,2.08633,2.5773,1.95482,1.01034,0.98649,1.54468,0.90287,2.30772,1.99006,0.95917,0.67862,1.669
124,5372,512,367,1.2804,2.09602,2.5885,1.96288,1.01391,0.99121,1.55058,0.90394,2.31103,1.99286,0.96013,0.68241,1.6698
125,7188,512,496,1.6602,2.1065,2.60214,1.97258,1.01735,0.99224,1.55816,0.90623,2.32115,2.00131,0.96283,0.68502,1.67623
126,7328,512,504,1.6892,2.1184,2.61608,1.98278,1.0204,0.9961,1.56648,0.90869,2.33192,2.01007,0.96525,0.68785,1.68122
127,27600,2048,1460,4.5613,2.13831,2.64466,2.00166,1.02904,1.00348,1.58055,0.9198,2.39812,2.06232,0.98083,0.69532,1.71678
128,5532,512,392,1.2798,2.14882,2.65777,2.01051,1.03183,1.00831,1.58685,0.92139,2.40513,2.06854,0.98277,0.6962,1.72169
129,8208,512,555,1.8452,2.16266,2.67437,2.02203,1.03551,1.01131,1.59606,0.92466,2.41949,2.08051,0.98646,0.69749,1.73064
130,11924,1024,702,2.3924,2.18046,2.6996,2.03978,1.04065,1.01641,1.60916,0.9287,2.43473,2.09297,0.99086,0.69842,1.73935
131,5764,512,409,1.3016,2.18818,2.70531,2.04273,1.04224,1.0192,1.61162,0.9309,2.44705,2.10434,0.99509,0.69842,1.75072
132,7180,512,494,1.5479,2.19881,2.71698,2.05081,1.04537,1.02085,1.61841,0.9337,2.4626,2.11773,0.999,0.69842,1.76276
133,5620,512,394,1.3345,2.21206,2.73273,2.06147,1.04895,1.02237,1.62694,0.93471,2.46596,2.12047,1.00008,0.69842,1.76549
134,13976,1024,813,2.5955,2.22492,2.74868,2.07252,1.0513,1.02309,1.63527,0.94006,2.49433,2.14339,1.00743,0.70233,1.78308
135,6436,512,438,1.526,2.23805,2.76572,2.08416,1.05556,1.02975,1.64351,0.94174,2.49988,2.14778,1.00881,0.70233,1.78678
136,14336,1024,837,2.7682,2.25274,2.78469,2.09643,1.06114,1.03743,1.65118,0.94807,2.52642,2.16903,1.01506,0.70322,1.80475
137,7328,512,513,1.6345,2.26196,2.79716,2.10541,1.0643,1.03947,1.65638,0.95049,2.53899,2.1799,1.01761,0.70322,1.81529
138,7448,512,518,1.7471,2.27633,2.81553,2.11867,1.06937,1.04946,1.66564,0.9538,2.55113,2.19047,1.02045,0.70572,1.8238
139,3212,256,270,0.8872,2.28334,2.82328,2.1243,1.07214,1.05253,1.66944,0.95456,2.55532,2.19425,1.02159,0.70572,1.82742
140,7148,512,486,1.6099,2.29493,2.83753,2.13427,1.07445,1.05161,1.67704,0.95713,2.56646,2.20343,1.02434,0.70676,1.8344
141,3444,256,284,0.9483,2.30349,2.84653,2.14077,1.07686,1.05347,1.68194,0.95788,2.56953,2.20631,1.02464,0.70676,1.83684
142,7784,512,534,1.7761,2.31574,2.8602,2.14962,1.0808,1.0525,1.68851,0.96102,2.58493,2.21879,1.02946,0.70781,1.8463
143,12364,1024,749,2.3754,2.32968,2.88072,2.16441,1.08674,1.06181,1.69916,0.96705,2.61166,2.24108,1.03504,0.70919,1.86644
144,7428,512,509,1.7439,2.34321,2.89787,2.17645,1.0907,1.06497,1.70795,0.96927,2.62092,2.2486,1.03704,0.70919,1.8718
145,12340,1024,743,2.4277,2.35666,2.91626,2.18829,1.09605,1.07413,1.71568,0.97406,2.64362,2.26631,1.04341,0.71301,1.88611
